sent,emot,emot_f,behav,behav_f
-88.0,Neutral,9,Neutral,11
-49.9,Competence,1,Like,1
-4.69,Humour,1,Amusement,1
0.0,Positivity,1,,
1.2,Dishonesty,1,,
2.4,,,,
4.69,,,,
5.8,,,,
9.6,,,,
13.69,,,,
16.39,,,,
41.29,,,,
54.79,,,,
